utc_timestamp,cet_cest_timestamp,DE_load_actual_entsoe_power_statistics,DE_load_actual_entsoe_transparency,DE_load_forecast_entsoe_transparency,DE_price_day_ahead,DE_solar_capacity,DE_solar_generation_actual,DE_solar_profile,DE_wind_capacity,DE_wind_generation_actual,DE_wind_profile,DE_wind_offshore_capacity,DE_wind_offshore_generation_actual,DE_wind_offshore_profile,DE_wind_onshore_capacity,DE_wind_onshore_generation_actual,DE_wind_onshore_profile
2015-11-01T00:00:00Z,2015-11-01T01:00:00+0100,43367.01031,38915,38920,24.46,38948,0,0,42115,7414,0.176,3297,,,38819,7192,0.1853
2015-11-01T01:00:00Z,2015-11-01T02:00:00+0100,42275.25773,37926,37926,27.3,38948,0,0,42115,7119,0.169,3297,,,38819,6945,0.1789
2015-11-01T02:00:00Z,2015-11-01T03:00:00+0100,42305.15464,37816,37680,24.48,38948,0,0,42115,6782,0.161,3297,,,38819,6653,0.1714
2015-11-01T03:00:00Z,2015-11-01T04:00:00+0100,42648.45361,38281,37964,24.42,38948,0,0,42115,6142,0.1459,3297,,,38819,6022,0.1551
2015-11-01T04:00:00Z,2015-11-01T05:00:00+0100,42585.56701,38100,38181,24.85,38948,0,0,42115,5295,0.1257,3297,,,38819,5198,0.1339
2015-11-01T05:00:00Z,2015-11-01T06:00:00+0100,42482.47423,37842,39005,24.86,38948,2,0,42115,4925,0.117,3297,,,38819,4896,0.1261
2015-11-01T06:00:00Z,2015-11-01T07:00:00+0100,44148.45361,39607,41128,24.83,38948,820,0.021,42115,4885,0.116,3297,,,38819,4883,0.1258
2015-11-01T07:00:00Z,2015-11-01T08:00:00+0100,47718.5567,43131,43976,26.26,38948,4447,0.1142,42115,4337,0.103,3297,,,38819,4334,0.1117
2015-11-01T08:00:00Z,2015-11-01T09:00:00+0100,50690.72165,46235,47007,27.3,38948,8910,0.2288,42115,3064,0.0728,3297,,,38819,3060,0.0788
2015-11-01T09:00:00Z,2015-11-01T10:00:00+0100,52871.13402,46847,49250,26.93,38948,12439,0.3194,42115,1804,0.0428,3297,,,38819,1765,0.0455
2015-11-01T10:00:00Z,2015-11-01T11:00:00+0100,54977.31959,43903,51505,27.69,38948,14486,0.3719,42115,1277,0.0303,3297,,,38819,1185,0.0306
2015-11-01T11:00:00Z,2015-11-01T12:00:00+0100,54289.69072,42960,51224,25.81,38948,14844,0.3811,42115,1094,0.026,3297,,,38819,956,0.0246
2015-11-01T12:00:00Z,2015-11-01T13:00:00+0100,52273.19588,41641,49296,26.94,38948,13629,0.3499,42115,977,0.0232,3297,,,38819,843,0.0217
2015-11-01T13:00:00Z,2015-11-01T14:00:00+0100,50448.45361,41460,47654,27.26,38948,10554,0.271,42115,911,0.0216,3297,,,38819,826,0.0213
2015-11-01T14:00:00Z,2015-11-01T15:00:00+0100,49690.72165,42908,47007,28.56,38948,5814,0.1493,42115,897,0.0213,3297,,,38819,847,0.0218
2015-11-01T15:00:00Z,2015-11-01T16:00:00+0100,51126.80412,45836,47355,34.05,38948,1130,0.029,42115,1107,0.0263,3297,,,38819,1099,0.0283
2015-11-01T16:00:00Z,2015-11-01T17:00:00+0100,57439.17526,51910,51187,47.98,38948,20,0.0005,42115,1522,0.0361,3297,,,38819,1517,0.0391
2015-11-01T17:00:00Z,2015-11-01T18:00:00+0100,60060.82474,54235,53498,51.54,38948,0,0,42115,1988,0.0472,3297,,,38819,1986,0.0512
2015-11-01T18:00:00Z,2015-11-01T19:00:00+0100,58542.26804,52663,53475,50.34,38948,0,0,42115,2279,0.0541,3297,,,38819,2277,0.0586
2015-11-01T19:00:00Z,2015-11-01T20:00:00+0100,56021.64948,49843,51085,46.48,38948,0,0,42115,2782,0.066,3297,,,38819,2780,0.0716
2015-11-01T20:00:00Z,2015-11-01T21:00:00+0100,54129.89691,47686,49185,40,38948,0,0,42115,3248,0.0771,3297,,,38819,3246,0.0836
2015-11-01T21:00:00Z,2015-11-01T22:00:00+0100,53175.25773,46873,48235,36.9,38948,0,0,42115,3137,0.0745,3297,,,38819,3134,0.0807
2015-11-01T22:00:00Z,2015-11-01T23:00:00+0100,49557.73196,43633,45005,32.79,38948,0,0,42115,2727,0.0648,3297,,,38819,2720,0.0701
2015-11-01T23:00:00Z,2015-11-02T00:00:00+0100,46748.45361,41097,42835,28.3,38951,0,0,42135,2226,0.0528,3297,,,38838,2208,0.0568
2015-11-02T00:00:00Z,2015-11-02T01:00:00+0100,45277.31959,39509,40921,24.67,38951,0,0,42135,2130,0.0506,3297,,,38838,2106,0.0543
2015-11-02T01:00:00Z,2015-11-02T02:00:00+0100,44908.24742,39072,40142,24.84,38951,0,0,42135,1990,0.0472,3297,,,38838,1966,0.0506
2015-11-02T02:00:00Z,2015-11-02T03:00:00+0100,45691.75258,40168,40581,22.24,38951,0,0,42135,1904,0.0452,3297,,,38838,1881,0.0484
2015-11-02T03:00:00Z,2015-11-02T04:00:00+0100,47985.56701,42496,42254,23.8,38951,0,0,42135,1699,0.0403,3297,,,38838,1682,0.0433
2015-11-02T04:00:00Z,2015-11-02T05:00:00+0100,52775.25773,47513,45975,27.84,38951,0,0,42135,1691,0.0401,3297,,,38838,1672,0.0431
2015-11-02T05:00:00Z,2015-11-02T06:00:00+0100,62538.14433,56711,53850,39.11,38951,1,0,42135,1726,0.041,3297,,,38838,1711,0.0441
2015-11-02T06:00:00Z,2015-11-02T07:00:00+0100,68453.60825,62431,59592,49.05,38951,713,0.0183,42135,1760,0.0418,3297,,,38838,1750,0.045
2015-11-02T07:00:00Z,2015-11-02T08:00:00+0100,70894.84536,64648,62207,47.92,38951,4084,0.1048,42135,1677,0.0398,3297,,,38838,1666,0.0429
2015-11-02T08:00:00Z,2015-11-02T09:00:00+0100,71384.53608,65256,63111,46.47,38951,8492,0.218,42135,1366,0.0324,3297,,,38838,1332,0.0343
2015-11-02T09:00:00Z,2015-11-02T10:00:00+0100,72416.49485,66375,63919,37.75,38951,11817,0.3034,42135,783,0.0186,3297,,,38838,738,0.019
2015-11-02T10:00:00Z,2015-11-02T11:00:00+0100,73055.6701,67050,64830,38.16,38951,13553,0.348,42135,520,0.0123,3297,,,38838,474,0.0122
2015-11-02T11:00:00Z,2015-11-02T12:00:00+0100,72065.97938,66291,64421,35.56,38951,14107,0.3622,42135,336,0.0079,3297,,,38838,298,0.0077
2015-11-02T12:00:00Z,2015-11-02T13:00:00+0100,71389.69072,66011,63518,36.09,38951,12765,0.3277,42135,223,0.0053,3297,,,38838,192,0.0049
2015-11-02T13:00:00Z,2015-11-02T14:00:00+0100,70174.2268,65366,62049,37.97,38951,9626,0.2471,42135,204,0.0048,3297,,,38838,182,0.0047
2015-11-02T14:00:00Z,2015-11-02T15:00:00+0100,69586.59794,64618,61319,48.05,38951,4976,0.1278,42135,327,0.0078,3297,,,38838,290,0.0074
2015-11-02T15:00:00Z,2015-11-02T16:00:00+0100,69645.36082,64377,60734,50.07,38951,800,0.0205,42135,611,0.0145,3297,,,38838,570,0.0147
2015-11-02T16:00:00Z,2015-11-02T17:00:00+0100,74347.42268,68685,63382,57.69,38951,4,0.0001,42135,1066,0.0253,3297,,,38838,1004,0.0258
2015-11-02T17:00:00Z,2015-11-02T18:00:00+0100,75170.10309,69575,64886,67.74,38951,0,0,42135,1540,0.0366,3297,,,38838,1422,0.0366
2015-11-02T18:00:00Z,2015-11-02T19:00:00+0100,72978.35052,67539,64092,59.41,38951,0,0,42135,2082,0.0494,3297,,,38838,1853,0.0477
2015-11-02T19:00:00Z,2015-11-02T20:00:00+0100,68657.73196,63496,60367,46.96,38951,0,0,42135,2533,0.0601,3297,,,38838,2208,0.0568
2015-11-02T20:00:00Z,2015-11-02T21:00:00+0100,64614.43299,59502,56792,38.56,38951,0,0,42135,2664,0.0632,3297,,,38838,2332,0.0601
